"財團法人彭婉如文教基金會附設高雄市私立平等非營利幼兒園(高雄市政府委託辦理)
圖書",,,,,,
項次,編碼,類別,書名,出版社,數量,備註
1,平圖贈00001,繪本,遲來的禮物,啟思圖書,1,藍
2,平圖贈00002,自然,水的遊戲,天下雜誌,1,綠
3,平圖贈00003,繪本,發現好玩的數字,艾閣萌,1,綠
4,平圖贈00004,繪本,顏色.形狀.大小相對詞,企鵝,1,藍
5,平圖贈00005,繪本,好餓的毛毛蟲,上誼,1,藍
6,平圖贈00006,自然,發現變化多端的天氣,艾閣萌,1,綠
7,平圖贈00007,繪本,14隻老鼠大搬家,英文漢聲,1,藍
8,平圖贈00008,自然,獅子家族,大科學,1,綠
9,平圖贈00009,自然,飛啊!蟲蟲小飛俠,大科學,1,綠
10,平圖贈00010,自然,白雪北極熊,大科學,1,綠
11,平圖贈00011,自然,鱷魚的大尖牙,大科學,1,綠
12,平圖贈00012,自然,麻雀小精靈,大科學,1,綠
13,平圖贈00013,自然,看誰在游泳,大科學,1,綠
14,平圖贈00014,自然,發現花兒的世界,艾閣萌,1,綠
15,平圖贈00015,自然,發現有趣的相反詞,艾閣萌,1,綠
16,平圖贈00016,自然,發現時間的奧妙,艾閣萌,1,綠
17,平圖贈00017,自然,發現小動物的家,艾閣萌,1,綠
18,平圖贈00018,自然,發現鳥的種類,艾閣萌,1,綠
19,平圖贈00019,自然,發現生活中的小危險,艾閣萌,1,綠
20,平圖贈00020,自然,發現音樂的世界,艾閣萌,1,綠
21,平圖贈00021,自然,發現奇妙的大樹,艾閣萌,1,綠
22,平圖贈00022,自然,大自然的顏色,親親自然,1,綠
23,平圖贈00023,自然,鴕鳥,親親自然,1,綠
24,平圖贈00024,自然,玩泥土的碗盤,親親自然,1,綠
25,平圖贈00025,自然,鹹鹹的鹽,親親自然,1,綠
26,平圖贈00026,自然,我們都住在地球,親親自然,1,綠
27,平圖贈00027,自然,到熱帶雨林探險,親親自然,1,綠
28,平圖贈00028,自然,媽媽和寶寶,親親自然,1,綠
29,平圖贈00029,自然,小貓咪長大了,親親自然,1,綠
30,平圖贈00030,自然,鳳梨,親親自然,1,綠
31,平圖贈00031,自然,香蕉,親親自然,1,綠
32,平圖贈00032,自然,黃金鼠,親親自然,1,綠
33,平圖贈00033,自然,乳牛和牛乳,親親自然,1,綠
34,平圖贈00034,自然,有趣的葉子,親親自然,1,綠
35,平圖贈00035,自然,大金剛,親親自然,1,綠
36,平圖贈00036,自然,馬鈴薯,親親自然,1,綠
37,平圖贈00037,自然,番茄真好吃,親親自然,1,綠
38,平圖贈00038,自然,小瓢蟲,親親自然,1,綠
39,平圖贈00039,自然,螳螂,親親自然,1,綠
40,平圖贈00040,自然,候鳥來了,親親自然,1,綠
41,平圖贈00041,自然,雨後的小傘~菇,親親自然,1,綠
42,平圖贈00042,自然,小種子的旅行,親親自然,1,綠
43,平圖贈00043,繪本,小流星亮晶晶,鹿橋文化,1,藍
44,平圖贈00044,自然,親親自然52,親親自然,1,綠
45,平圖贈00045,自然,親親自然45,親親自然,1,綠
46,平圖贈00046,自然,親親自然56,親親自然,1,綠
47,平圖贈00047,自然,親親自然51,親親自然,1,綠
48,平圖贈00048,繪本,小王子找快樂,啟思圖書,1,藍
49,平圖贈00049,自然,螞蟻,光復,1,綠
50,平圖贈00050,繪本,湯匙嬸,國語周刊,1,藍
51,平圖贈00051,自然,小小天地64,小小天地,1,藍
52,平圖贈00052,自然,小小天地72,小小天地,1,藍
53,平圖贈00053,自然,小小天地75,小小天地,1,藍
54,平圖贈00054,自然,小牛頓197,牛頓,1,綠
55,平圖贈00055,自然,小牛頓46,牛頓,1,綠
56,平圖贈00056,自然,小牛頓51,牛頓,1,綠
57,平圖贈00057,自然,小牛頓234,牛頓,1,綠
58,平圖贈00058,自然,小牛頓188,牛頓,1,綠
59,平圖贈00059,繪本,安徒生童話集,泉源,1,藍
60,平圖贈00060,自然,皇帝企鵝,啟思圖書,1,綠
61,平圖贈00061,自然,袋鼠,啟思圖書,1,綠
62,平圖贈00062,自然,松鼠,啟思圖書,1,綠
63,平圖贈00063,自然,貓咪,啟思圖書,1,綠
64,平圖贈00064,自然,貓頭鷹,啟思圖書,1,綠
65,平圖贈00065,自然,兔子,啟思圖書,1,綠
66,平圖贈00066,自然,鯨魚,啟思圖書,1,綠
67,平圖贈00067,自然,獅子 ,啟思圖書,1,綠
68,平圖贈00068,自然,熊貓,啟思圖書,1,綠
69,平圖贈00069,自然,棕熊,啟思圖書,1,綠
70,平圖贈00070,自然,白鸛,啟思圖書,1,綠
71,平圖贈00071,自然,綠頭鴨,啟思圖書,1,綠
72,平圖贈00072,自然,果園裡的新朋友,啟思圖書,1,綠
73,平圖贈00073,自然,袋鼠智勝大獵狗,啟思圖書,1,綠
74,平圖贈00074,自然,河邊的小寶寶,啟思圖書,1,綠
75,平圖贈00075,自然,小企鵝歷險記,啟思圖書,1,綠
76,平圖贈00076,自然,小刺蝟學本領,啟思圖書,1,綠
77,平圖贈00077,自然,勇敢的斑馬衛兵,啟思圖書,1,綠
78,平圖贈00078,自然,誰在唱歌?,啟思圖書,1,綠
79,平圖贈00079,語文,兒童唐詩三百首精選,欣大,1,黃
80,平圖贈00080,繪本,魯冰遜漂流記,華一,1,藍
81,平圖贈00081,繪本,"說一聲""晚安""",啟思圖書,1,藍
82,平圖贈00082,繪本,午睡時間,啟思圖書,1,藍
83,平圖贈00083,繪本, 小爾尼學ABC,啟思圖書,1,藍
84,平圖贈00084,繪本,小柏特的數字書,啟思圖書,1,藍
85,平圖贈00085,繪本,"說一聲""再見""",啟思圖書,1,藍
86,平圖贈00086,繪本,小郭菲的形狀書,啟思圖書,1,藍
87,平圖贈00087,繪本,請說些神奇的話,啟思圖書,1,藍
88,平圖贈00088,繪本,小艾摩的顏色書,啟思圖書,1,藍
89,平圖贈00089,繪本,安靜一下,啟思圖書,1,藍
90,平圖贈00090,繪本,小老鼠救大獅子,世一,1,藍
91,平圖贈00091,繪本,靈犬萊西,將門,1,藍
92,平圖贈00092,繪本,小紅帽,幼華,1,藍
93,平圖贈00093,繪本,姆指仙童,幼華,1,藍
94,平圖贈00094,自然,捕捉流星,啟思圖書,1,綠
95,平圖贈00095,自然,穿越銀河,啟思圖書,1,綠
96,平圖贈00096,自然,小小天地70,小小天地,1,藍
97,平圖贈00097,自然,小小天地73,小小天地,1,藍
98,平圖贈00098,自然,小小天地69,小小天地,1,藍
99,平圖贈00099,自然,小小天地71,小小天地,1,藍
100,平圖贈00100,繪本,巫婆奇遇記,鹿橋文化,1,藍
101,平圖贈00101,繪本,動物狂歡節,鹿橋文化,1,藍
102,平圖贈00102,繪本,花兒的宴會,美育旺旺,1,藍
103,平圖贈00103,繪本,國語月刊75,國語月刊,1,藍
104,平圖贈00104,繪本,提燈籠,鹿橋文化,1,藍
105,平圖贈00105,繪本,ㄇㄚㄌ一ㄇㄨㄌ一變變變,鹿橋文化,1,藍
106,平圖贈00106,繪本,小松鼠的秋天學校,美育旺旺,1,藍
107,平圖贈00107,繪本,夢幻溪的嘉年華會,鹿橋文化,1,藍
108,平圖贈00108,繪本,小小天地68,小小天地,1,藍
109,平圖贈00109,繪本,重返侏儸紀,世一,1,藍
110,平圖贈00110,繪本,巧連智寶寶版2,貝樂思,1,藍
111,平圖贈00111,繪本,巧連智寶寶版5,貝樂思,1,藍
112,平圖贈00112,繪本,巧連智寶寶版1,貝樂思,1,藍
113,平圖贈00113,繪本,宇宙超級怪獸圖鑑,陽銘,1,藍
114,平圖贈00114,自然,小小天地67,小小天地,1,綠
115,平圖贈00115,自然,鱷魚的大尖牙,親親自然,1,綠
116,平圖贈00116,繪本,彩色世界童話寶盒,陽銘,1,藍
117,平圖贈00117,自然,親親自然28,親親自然,1,綠
118,平圖贈00118,自然,小小天地66,小小天地,1,藍
119,平圖贈00119,繪本,妖精的願望,鹿橋文化,1,藍
120,平圖贈00120,繪本,神奇屋,鹿橋文化,1,藍
121,平圖贈00121,繪本,四季大崗山,高雄縣政府,1,藍
