"財團法人彭婉如文教基金會附設高雄市私立平等非營利幼兒園(高雄市政府委託辦理)
圖書",,,,,,,
項次,編碼,類別,書名,出版社/作者,數量,單位,備註
1,007-4-07-E-001,科學,長頸鹿好長喔〈附導讀手冊.CD〉,東西出版事業,1,本,小東西大科學 -手冊遺失
2,007-4-07-E-002,科學,忍者雨蛙〈附導讀手冊.CD〉,東西出版事業,1,本,小東西大科學 -手冊遺失
3,007-4-07-E-003,科學,種子高飛〈附導讀手冊.CD〉,朱中慧,1,本,大科學
4,007-4-07-E-004,科學,消防車加油〈附導讀手冊.CD〉,東西出版事業,1,本,大科學
5,007-4-07-E-005,科學,蒲公英花開後〈附導讀手冊.CD〉,東西出版事業,1,本,大科學
6,007-4-07-E-006,科學,大自然的躲貓貓〈附導讀手冊.CD〉,朱中慧,1,本,大科學
7,007-4-07-E-007,科學,昆蟲冠軍〈附導讀手冊.CD〉,東西出版事業,1,本,大科學
8,007-4-07-E-008,科學,宇宙星球探險〈附導讀手冊.CD〉,東西出版事業,1,本,大科學
9,007-4-07-E-009,科學,尾巴  尾巴〈附導讀手冊.CD〉,東西出版事業,1,本,大科學
10,007-4-07-E-010,科學,白雪的形狀〈附導讀手冊.CD〉,朱中慧,1,本,大科學
11,007-4-07-E-011,科學,海豹小寶貝〈附導讀手冊.CD〉,朱中慧,1,本,大科學
12,007-4-07-E-012,科學,螯蝦的大剪刀〈附導讀手冊.CD〉,朱中慧,1,本,大科學
13,007-4-07-E-013,科學,雙層新幹線-麥克士號〈附導讀手冊.CD〉,朱中慧,1,本,大科學
14,007-4-07-E-014,科學,老虎的花紋〈附導讀手冊.CD〉,朱中慧,1,本,大科學
15,007-4-07-E-015,科學,飛啊！蟲蟲小飛俠〈附導讀手冊.CD〉,朱中慧,1,本,大科學
16,007-4-07-E-016,科學,蟲蟲你在哪裡〈附導讀手冊.CD〉,朱中慧,1,本,大科學
17,007-4-07-E-017,科學,我們是企鵝〈附導讀手冊.CD〉,謝靜惠,1,本,大科學
18,007-4-07-E-018,科學,天空的大旅行〈附導讀手冊.CD〉,東西出版事業,1,本,大科學
19,007-4-07-E-019,科學,相撲大力士〈附導讀手冊.CD〉,朱中慧,1,本,大科學 -CD遺失
20,007-4-07-E-020,科學,松鼠的小果子〈附導讀手冊.CD〉,謝靜惠,1,本,大科學
21,007-4-07-E-021,科學,白雪北極熊〈附導讀手冊.CD〉,謝靜惠,1,本,大科學
22,007-4-07-E-022,科學,麻糬打打樂〈附導讀手冊.CD〉,謝靜惠,1,本,大科學
23,007-4-07-E-023,科學,大嘴巴河馬〈附導讀手冊.CD〉,朱中慧,1,本,大科學
24,007-4-07-E-024,科學,奇幻美術館〈附導讀手冊.CD〉,朱中慧,1,本,大科學
25,007-4-07-E-025,科學,好想睡覺喔〈附導讀手冊.CD〉,朱中慧,1,本,大科學
26,007-4-07-E-026,科學,水果的花花世界〈附導讀手冊.CD〉,朱中慧,1,本,大科學
27,007-4-07-E-027,科學,小小瓢蟲爬呀爬〈附導讀手冊.CD〉,朱中慧,1,本,大科學
28,007-4-07-E-028,科學,螳螂勇士〈附導讀手冊.CD〉,朱中慧,1,本,大科學
29,007-4-07-E-029,科學,月球奇異探險〈附導讀手冊.CD〉,朱中慧,1,本,大科學
30,007-4-07-E-030,科學,飛啊！巨無霸噴射客機〈附導讀手冊.CD〉,朱中慧,1,本,大科學-手冊遺失
31,007-4-07-E-031,科學,形形色色的骨頭〈附導讀手冊.CD〉,朱中慧,1,本,大科學
32,007-4-07-E-032,科學,我抓到魚了〈附導讀手冊.CD〉,朱中慧,1,本,大科學-手冊遺失
33,007-4-07-E-033,科學,熊貓圓滾滾〈附導讀手冊.CD〉,曹如君,1,本,大科學
34,007-4-07-E-034,科學,角角動物園〈附導讀手冊.CD〉,曹如君,1,本,大科學
35,007-4-07-E-035,科學,春天在哪裡〈附導讀手冊.CD〉,曹如君,1,本,大科學-手冊遺失
36,007-4-07-E-036,科學,挖土機戰士〈附導讀手冊.CD〉,曹如君,1,本,大科學
37,007-4-07-E-037,科學,看誰在游泳〈附導讀手冊.CD〉,曹如君,1,本,大科學
38,007-4-07-E-038,科學,獨角仙和鍬形蟲〈附導讀手冊.CD〉,曹如君,1,本,大科學
39,007-4-07-E-039,科學,獅子家族〈附導讀手冊.CD〉,曹如君,1,本,大科學
40,007-4-07-E-040,科學,我愛拉麵〈附導讀手冊.CD〉,曹如君,1,本,大科學
41,007-4-07-E-041,科學,鱷魚的大尖牙〈附導讀手冊.CD〉,曹如君,1,本,大科學
42,007-4-07-E-042,科學,冰塊變變變〈附導讀手冊.CD〉,曹如君,1,本,大科學
43,007-4-07-E-043,科學,大鴕鳥〈附導讀手冊.CD〉,曹如君,1,本,大科學
44,007-4-07-E-044,科學,腳腳腳〈附導讀手冊.CD〉,曹如君,1,本,大科學
45,007-4-07-E-045,科學,好好吃的草莓〈附導讀手冊.CD〉,曹如君,1,本,大科學
46,007-4-07-E-046,科學,蓋房子囉！〈附導讀手冊.CD〉,曹如君,1,本,大科學
47,007-4-07-E-047,科學,圓圓小水滴〈附導讀手冊.CD〉,曹如君,1,本,大科學 -CD遺失
48,007-4-07-E-048,科學,沖天小竹筍〈附導讀手冊.CD〉,曹如君,1,本,大科學
49,007-4-07-E-049,科學,想一想，像什麼〈附導讀手冊.CD〉,曹如君,1,本,大科學
50,007-4-07-E-050,科學,蟲蟲奧運會〈附導讀手冊.CD〉,曹如君,1,本,大科學
51,007-4-07-E-051,科學,貓咪日記〈附導讀手冊.CD〉,曹如君,1,本,大科學
52,007-4-07-E-052,科學,小小麵包坊〈附導讀手冊.CD〉,曹如君,1,本,大科學
53,007-4-07-E-053,科學,飛天鼯鼠〈附導讀手冊.CD〉,曹如君,1,本,大科學
54,007-4-07-E-054,科學,動物變裝秀〈附導讀手冊.CD〉,曹如君,1,本,大科學
