"財團法人彭婉如文教基金會附設高雄市私立平等非營利幼兒園(高雄市政府委託辦理)
圖書清冊",,,,,,,,,,
圖書分類代號別：藍色-->繪本(美感)  紅色-->身體健康(飲食、保健) 黃色-->語文類   (生命教育類)             綠色-->自然科學類  粉紅色-->社會(社區類)  紫色-->性別教育    淺藍色-->情緒,,,,,,,,,,
數量,編碼,圖書分類,書名,出版社,單位,數量,備註,分類,,
1,007-4-07-EA-001,情緒,我那顆在搖的牙齒絕對不能掉,上誼文化公司,本,1,,淺藍色,,
2,007-4-07-EA-002,情緒,我不睏，我不要睡覺,上誼文化公司,本,1,,淺藍色,,
3,007-4-07-EA-003,情緒,我太小，我不要上學,上誼文化公司,本,1,,淺藍色,,
4,007-4-07-EA-004,身體健康,我絕對絕對不吃番茄,上誼文化公司,本,1,,紅色,,
5,007-4-07-EA-005,自然,雞的ㄋㄟㄋㄟ,三之三,本,1,,綠色,,
6,007-4-07-EA-006,繪本,三隻餓狼想吃雞,三之三,本,1,,藍色,,
7,007-4-07-EA-007,繪本,一隻小豬與100匹狼,三之三,本,1,,藍色,,
8,007-4-07-EA-008,繪本,好想要一個娃娃,三之三,本,1,,藍色,,
9,007-4-07-EA-009,繪本,我才不放手呢,三之三,本,1,,藍色,,
10,007-4-07-EA-010,自然,都是放屁惹的禍,維京 ,本,1,,綠色,,
11,007-4-07-EA-011,社會,謝謝妳小幫手,小魯文化  ,本,1,,粉紅色,,
12,007-4-07-EA-012,身體健康,愛吃水果的牛,信誼,本,1,,紅色,,
13,007-4-07-EA-013,身體健康,你是一隻獅子,天下雜誌,本,1,,紅色,,
14,007-4-07-EA-014,自然,來喝水吧,小天下,本,1,,綠色,,
15,007-4-07-EA-015,繪本,貛爸便當店,大穎文化,本,1,,藍色,,
16,007-4-07-EA-016,身體健康,蛀牙蟲家族大搬家,小熊出版,本,1,,紅色,,
17,007-4-07-EA-017,社會,森林是我的家,格林,本,1,,粉紅色,,
18,007-4-07-EA-018,身體健康,開心農場：怎麼吃健康又環保？,格林,本,1,,紅色,,
19,007-4-07-EA-019,社會,彩虹魚,青林 ,本,1,,粉紅色,,
20,007-4-07-EA-020,自然,小蠶豆的床,青林 ,本,1,,綠色,,
21,007-4-07-EA-021,社會,不可以搶我的糖果,格林文化,本,1,,粉紅色,,
22,007-4-07-EA-022,繪本,一塊披薩一塊錢,格林文化,本,1,,藍色,,
23,007-4-07-EA-023,社會,沒關係我幫你,格林文化,本,1,,粉紅色,,
24,007-4-07-EA-024,自然,颱風的那一天,愛智 ,本,1,,綠色,,
25,007-4-07-EA-025,情緒,爸爸有一千隻手,格林文化,本,1,,淺藍色,,
26,007-4-07-EA-026,繪本,好大一個噴嚏,格林文化,本,1,,藍色,,
27,007-4-07-EA-027,繪本,一個不能沒有禮物的日子,和英,本,1,,藍色,,
28,007-4-07-EA-028,自然,討厭黑暗的席奶奶,遠流 ,本,1,,綠色,,
29,007-4-07-EA-029,社會,我的姐姐不一樣,遠流 ,本,1,,粉紅色,,
30,007-4-07-EA-030,社會,我的妹妹聽不見,遠流 ,本,1,,粉紅色,,
31,007-4-07-EA-031,社會,跟著爺爺看,遠流 ,本,1,,粉紅色,,
32,007-4-07-EA-032,情緒,班班的地盤,遠流,本,1,,淺藍色,,
33,007-4-07-EA-033,社會,和我玩好嗎？,遠流,本,1,,粉紅色,,
34,007-4-07-EA-034,繪本,好髒的哈利,遠流,本,1,,藍色,,
35,007-4-07-EA-035,社會,大象艾瑪,和英,本,1,,粉紅色,,
36,007-4-07-EA-036,社會,艾瑪與艾度爺爺(附CD),和英,本,1,,粉紅色,,
37,007-4-07-EA-037,繪本,艾瑪踩高蹺(附CD),和英,本,1,,藍色,,
38,007-4-07-EA-038,自然,艾瑪與風(附CD),和英,本,1,,綠色,,
39,007-4-07-EA-039,繪本,艾瑪回來了,和英,本,1,,藍色,,
40,007-4-07-EA-040,繪本,艾瑪玩捉迷藏(中英雙語附CD),和英,本,1,,藍色,,
41,007-4-07-EA-041,語文,門鈴又響了,遠流,本,1,,黃色,,
42,007-4-07-EA-042,繪本,包姆與凱羅購物記,九童國際,套,1,,藍色,,
