"財團法人彭婉如文教基金會附設高雄市私立平等非營利幼兒園(高雄市政府委託辦理)
圖書",,,,,,
圖書分類代號別：藍色-->繪本(美感)  紅色-->身體健康(飲食、保健)                           黃色-->語文類(生命教育類)      綠色-->自然科學類  粉紅色-->社會(社區類)                    紫色-->性別教育    淺藍色-->情緒,,,,,,
項次,編碼,類別,書名,出版社,數量,
1,104學年教育部贈書0001,淺藍色,喔！ 好痛！, 三之三,1,
2,104學年教育部贈書0002,紅色,我們來洗手,三之三,1,
3,104學年教育部贈書0003,藍色,愛打岔的小雞,三之三,1,
4,104學年教育部贈書0004,淺藍色,媽媽的紅沙發,三之三,1,
5,104學年教育部贈書0005,粉紅色,威威找記憶,三之三,1,
6,104學年教育部贈書0006,淺藍色,眼淚海,三之三,1,
7,104學年教育部贈書0007,藍色,我的紅氣球,三之三,1,
8,104學年教育部贈書0008,淺藍色,第五個,三之三,1,
9,104學年教育部贈書0009,藍色,小羊睡不著,三之三,1,
10,104學年教育部贈書0010,藍色,大野狼的短褲,三之三,1,
11,104學年教育部贈書0011,藍色,我討厭媽媽...,三之三,1,
12,104學年教育部贈書0012,藍色,蚯蚓的日記,上誼,1,
13,104學年教育部贈書0013,綠色,樹真好,上誼,1,
14,104學年教育部贈書0014,藍色,從頭動到腳,上誼,1,
15,104學年教育部贈書0015,紅色,丹丹寶寶版：刷牙刷刷刷,上誼,1,
16,104學年教育部贈書0016,藍色,我的地圖書,上誼,1,
17,104學年教育部贈書0017,藍色,小黃點,上誼,1,
18,104學年教育部贈書0018,淺藍色,啊！不可思議系列：人類與動物的行為觀察,上誼,1,
19,104學年教育部贈書0019,綠色,野地上的花園,上誼,1,
20,104學年教育部贈書0020,綠色,月下看貓頭鷹,上誼,1,
21,104學年教育部贈書0021,藍色,語言圖鑑：各式各樣的名字,上誼,1,
22,104學年教育部贈書0022,粉紅色,阿虎開竅了,上誼,1,
23,104學年教育部贈書0023,淺藍色,小阿力的大學校,上誼,1,
24,104學年教育部贈書0024,淺藍色,小貓頭鷹,上誼,1,
25,104學年教育部贈書0025,藍色,阿羅有枝彩色筆,上誼,1,
26,104學年教育部贈書0026,藍色,森林裡的祕密,大塊,1,
27,104學年教育部贈書0027,紅色,怪獸，別吃我！,大穎,1,
28,104學年教育部贈書0028,粉紅色,其實，我想和你玩……,大穎,1,
29,104學年教育部贈書0029,粉紅色,看不見,小兵,1,
30,104學年教育部贈書0030,藍色,不想睡午覺,小魯,1,
31,104學年教育部贈書0031,藍色,前面還有什麼車？,小魯,1,
32,104學年教育部贈書0032,粉紅色,麥基先生請假的那一天,小魯,1,
33,104學年教育部贈書0033,粉紅色,我是獨特的,小魯,1,
34,104學年教育部贈書0034,粉紅色,我贏了/我輸了,天下,1,
35,104學年教育部贈書0035,藍色,獅子與老鼠,天下遠見,1,
36,104學年教育部贈書0036,藍色,像不像沒關係,天下遠見,1,
37,104學年教育部贈書0037,紅色,你是一隻獅子！─跟著動物們一起做運動,天下雜誌,1,
38,104學年教育部贈書0038,藍色,誰來吃午餐,水滴,1,
39,104學年教育部贈書0039,藍色,鴿子的天使,台灣東方,1,
40,104學年教育部贈書0040,藍色,蘿西的小祕密,幼獅,1,
41,104學年教育部贈書0041,粉紅色,爸爸帶我看見宇宙,玉山社,1,
42,104學年教育部贈書0042,藍色,喀嚓喀嚓爺爺的恐龍王國,米奇巴克,1,
43,104學年教育部贈書0043,黃色,小菲菲和新弟弟,和英,1,
44,104學年教育部贈書0044,黃色,小紙箱,和英,1,
45,104學年教育部贈書0045,藍色,"麥克,穿衣服!",和英,1,
46,104學年教育部贈書0046,藍色,小蠑螈睡哪裡？,和英,1,
47,104學年教育部贈書0047,粉紅色,魔奇魔奇樹,和英,1,
48,104學年教育部贈書0048,粉紅色,一位溫柔善良有錢的太太和她100隻狗,和英,1,
49,104學年教育部贈書0049,粉紅色,熊爸爸去另一個城市工作,和英,1,
50,104學年教育部贈書0050,黃色,塞車,和英,1,
51,104學年教育部贈書0051,藍色,一起去看海,和英,1,
52,104學年教育部贈書0052,黃色,不是箱子,阿布拉,1,
53,104學年教育部贈書0053,藍色,一個躲起來的好地方,阿布拉,1,
54,104學年教育部贈書0054,黃色,小真的長頭髮,阿爾發,1,
55,104學年教育部贈書0055,綠色,我看見一隻鳥,青林,1,
56,104學年教育部贈書0056,綠色,大自然的夜晚,青林,1,
57,104學年教育部贈書0057,粉紅色,小蠶豆和好長好長的豆子,青林,1,
58,104學年教育部贈書0058,綠色,荷花池,青林,1,
59,104學年教育部贈書0059,粉紅色,走，去迪化街買年貨,青林,1,
60,104學年教育部贈書0060,藍色,小鏡頭外的大世界 ,青林,1,
