條碼書目,財產分類,項次,編碼,類別,書名,出版社
B01320,圖書(贈),567,平圖贈00564,,探險家小鼠波波,財團法人惟生醫學文教基金會
B01321,圖書(贈),568,平圖贈00565,,探險家小鼠波波,財團法人惟生醫學文教基金會
B01322,圖書(贈),569,平圖贈00566,,小豬嘟嘟的營火晚會,財團法人惟生醫學文教基金會
B01323,圖書(贈),570,平圖贈00567,,小豬嘟嘟的營火晚會,財團法人惟生醫學文教基金會
B01324,圖書(贈),571,平圖贈00568,,小艾艾的大眼睛,財團法人惟生醫學文教基金會
B01325,圖書(贈),572,平圖贈00569,,小艾艾的大眼睛,財團法人惟生醫學文教基金會
B01326,圖書(贈),573,平圖贈00570,,女孩尋寶圖,人類文化
B01327,圖書(贈),574,平圖贈00571,,動物的家園,讀者文摘
B01328,圖書(贈),575,平圖贈00572,,虎姑婆,石綠文化
B01329,圖書(贈),576,平圖贈00573,,賣香屁,石綠文化
B01330,圖書(贈),577,平圖贈00574,,好鼻獅,石綠文化
B01331,圖書(贈),578,平圖贈00575,,白賊七,石綠文化
B01332,幼兒園購買,330,007-4-07-EA-311,,媽媽藥?? ?,大穎文化
B01333,幼兒園購買,331,007-4-07-EA-312,,世界的孩子，不一樣的生活：來自7個國家的7個孩子，食衣住行都不同的一天 ,小天下
B01334,幼兒園購買,332,007-4-07-EA-313,,會生氣的山,小天下
B01335,幼兒園購買,333,007-4-07-EA-314,,嘰哩咕嚕碰,小光點
B01336,幼兒園購買,334,007-4-07-EA-315,,好無聊啊好無聊?,三采
B01337,幼兒園購買,335,007-4-07-EA-316,,魯拉魯先生的庭院（二版）,小魯文化
B01338,幼兒園購買,336,007-4-07-EA-317,,和媽媽走散了，怎麼辦？ ,大穎文化
B01339,幼兒園購買,337,007-4-07-EA-318,,恐龍和垃圾,英文漢聲
B01340,幼兒園購買,338,007-4-07-EA-319,,我們到了沒？  ,小天下
B01341,幼兒園購買,339,007-4-07-EA-320,,可以說晚安了嗎？  ,小天下
B01342,幼兒園購買,340,007-4-07-EA-321,,我本來就很愛你啊！ ,小天下
B01343,幼兒園購買,341,007-4-07-EA-322,,小男生上廁所了！ ,維京
B01344,幼兒園購買,342,007-4-07-EA-323,,我很厲害，但是我不驕傲 ,大穎文化
B01345,幼兒園購買,343,007-4-07-EA-324,,獅子的新家 ,小魯文化
B01346,幼兒園購買,344,007-4-07-EA-325,,超級理髮師,小魯文化
B01347,幼兒園購買,345,007-4-07-EA-326,,最熱烈的掌聲,小魯文化
B01348,幼兒園購買,346,007-4-07-EA-327,,超神奇雨傘鋪 ,小魯文化
B01349,幼兒園購買,347,007-4-07-EA-328,,歡迎光臨吃飽飽餐廳 ,青林
B01350,幼兒園購買,348,007-4-07-EA-329-1,,孩子的第一套生態觀察繪本集：《池上 池下》,小魯文化
B01351,幼兒園購買,349,007-4-07-EA-329-2,,孩子的第一套生態觀察繪本集：《地面 地下》,小魯文化
B01352,幼兒園購買,350,007-4-07-EA-330,,電梯來了，請上樓,青林
B01353,幼兒園購買,351,007-4-07-EA-331,,奶奶臉上的皺紋 ,三民
B01354,幼兒園購買,352,007-4-07-EA-332,,天空100層樓的家 ,小魯文化
B01355,幼兒園購買,353,007-4-07-EA-333,,小女生上廁所了！ ,維京
B01356,幼兒園購買,354,007-4-07-EA-334,,歡迎光臨我的展覽 ,小天下
B01357,幼兒園購買,355,007-4-07-EA-335,,長的圓的，一起來蒐集！,小天下
B01358,幼兒園購買,356,007-4-07-EA-336,,這不是我的帽子 ,親子天下
B01359,幼兒園購買,357,007-4-07-EA-337,,不會魔法的泰娜：節慶是日常生活的魔法．最獨特的新節日故事,國語日報
B01360,幼兒園購買,358,007-4-07-EA-338,,朱瑞福的游泳課,親子天下
B01361,幼兒園購買,359,007-4-07-EA-339,,金太陽銀太陽 ,親子天下
B01362,幼兒園購買,360,007-4-07-EA-340,,猜一猜 我是誰？ ,親子天下
B01363,幼兒園購買,361,007-4-07-EA-341,,慢吞吞英雄：會想辦法的球球,健康大腦發展
B01364,幼兒園購買,362,007-4-07-EA-342,,大地上的孩子：由地球的一端到另外一端 ,文林出版
B01365,幼兒園購買,363,007-4-07-EA-343-1,,黃瑽寧醫師的第一套劇本式繪本-我晚上睡覺包尿布,親子天下
B01366,幼兒園購買,364,007-4-07-EA-343-2,,黃瑽寧醫師的第一套劇本式繪本-就只有這麼痛而已,親子天下
B01367,幼兒園購買,365,007-4-07-EA-343-3,,黃瑽寧醫師的第一套劇本式繪本-小樂喜歡棒棒糖,親子天下
B01368,幼兒園購買,366,007-4-07-EA-343-4,,黃瑽寧醫師的第一套劇本式繪本-媽媽我睡不著,親子天下
